responid,age,gender,edu,income,marital,consumption_rate,patronage_arbys,patronage_burgerking,patronage_mcd,patronage_subway,patronage_wendys,rating_arbys,rating_burgerking,rating_mcd,rating_subway,rating_wendys
392,2,2,4,3,2,8,,1,1,1,,,5,5,5,
394,2,2,2,1,1,25,2,3,1,2,2,5,,4,7,7
397,2,2,4,1,1,4,3,1,2,1,2,,6,6,9,7
399,2,1,3,8,1,4,1,2,1,1,2,7,6,6,8,6
400,4,2,2,3,2,4,3,3,1,3,3,,,7,,
402,2,2,3,2,2,15,2,2,1,1,3,5,6,8,8,
404,2,2,4,2,2,4,2,2,1,1,1,6,6,6,9,7
405,2,1,3,2,1,12,3,1,1,1,3,,7,7,3,
406,2,1,3,1,1,16,,1,1,,1,,5,5,,8
407,6,1,3,4,2,4,2,1,2,3,1,9,9,8,,10
409,2,2,3,5,1,8,3,3,1,1,2,,,6,7,6
410,2,1,2,1,1,2,4,3,1,4,1,,,7,,10
411,2,2,2,2,1,26,1,1,1,1,1,7,9,1,10,10
412,2,1,3,1,1,10,,,,,,,,,,
413,2,2,3,2,1,7,4,3,3,3,3,,,,,
414,2,1,3,5,1,5,2,1,1,1,1,6,9,8,9,10
415,2,2,2,2,2,4,3,2,1,1,2,,8,8,7,8
416,2,2,4,1,1,4,3,3,2,3,2,,,6,,7
418,2,2,3,3,1,4,1,2,2,1,1,8,4,3,7,7
419,2,2,2,8,1,5,2,3,2,1,2,2,,2,4,6
420,2,1,3,1,1,8,1,3,1,3,2,7,,7,,8
422,2,2,3,1,2,15,2,3,1,1,2,10,,7,7,7
423,2,2,3,1,1,12,3,1,1,2,3,,10,8,8,
424,2,2,3,5,1,3,1,,1,,1,7,,6,,8
425,2,2,3,8,1,2,3,2,2,3,3,,7,8,,
426,2,2,3,1,1,15,2,3,1,1,2,7,,5,8,7
427,2,2,2,2,1,7,3,3,2,3,1,,,5,,7
428,2,2,2,1,2,15,3,1,1,2,1,,7,6,9,7
429,2,1,3,2,1,16,4,3,2,1,1,,,8,8,9
430,2,2,4,3,1,15,1,1,1,2,1,6,7,7,3,10
431,2,2,2,2,2,4,,,1,,1,,,4,,7
432,2,1,1,3,1,20,2,1,1,4,1,7,6,8,,8
433,2,2,4,2,1,12,2,1,3,1,1,9,9,,6,9
434,2,2,3,1,2,8,2,1,1,1,3,5,7,7,9,
435,2,2,3,1,1,4,3,3,1,3,3,,,9,,
436,2,2,3,1,1,10,,1,2,,2,,10,9,,10
437,2,1,3,2,1,12,2,1,1,1,1,5,6,7,7,4
438,2,1,3,1,1,4,3,3,1,1,3,,,9,10,
440,2,2,3,2,2,8,3,2,1,2,2,,10,8,9,10
441,2,2,3,1,1,10,3,3,1,1,2,,,3,9,8
442,2,2,3,1,1,2,3,1,4,3,3,,3,,,
443,2,1,2,1,2,7,3,2,1,3,1,,9,9,,8
445,2,2,3,2,1,4,2,2,1,3,1,10,10,8,,10
448,2,2,1,8,1,15,,,1,1,,,,8,9,
449,2,2,4,2,1,3,3,3,3,1,2,,,,7,7
450,2,2,4,2,1,3,3,1,1,2,1,,9,7,8,9
451,2,2,3,5,1,20,3,2,3,1,1,,8,,9,9
452,2,2,3,2,1,2,4,2,3,1,2,,5,,10,8
453,2,2,3,1,1,3,4,3,1,4,3,,,5,,
454,2,2,2,2,2,6,,,1,,,,,9,,
455,2,2,4,1,1,14,1,1,1,1,2,8,7,7,9,5
456,2,2,3,1,1,12,2,2,1,1,1,8,8,8,8,7
457,2,2,3,1,2,3,3,1,1,1,3,,8,8,8,
458,2,2,2,2,2,5,1,3,1,1,3,8,,9,8,
459,2,1,1,4,1,2,1,2,1,1,2,8,4,5,5,7
460,2,2,3,8,1,3,1,1,1,1,1,9,6,4,8,7
461,2,2,2,3,1,15,2,3,1,3,1,9,,7,,4
462,2,2,3,1,1,20,3,1,1,2,1,,6,5,8,8
463,2,2,3,2,1,4,3,1,1,2,3,,5,3,7,
464,2,1,1,8,1,2,3,3,1,3,3,,,4,,
467,5,2,4,3,2,5,1,1,1,2,1,8,8,7,8,8
468,2,2,4,5,1,4,2,2,2,1,2,8,7,7,10,7
469,2,2,2,8,1,10,3,1,1,3,2,,10,10,,10
470,2,2,3,8,1,4,3,1,1,1,2,,4,4,5,4
472,5,1,5,4,2,16,1,3,3,1,3,8,,,5,
474,3,2,4,5,2,4,3,2,3,3,1,,6,,,9
475,6,2,3,2,2,5,2,3,1,3,3,8,,4,,
476,6,2,4,4,2,3,,,,1,,,,,7,
478,4,2,4,2,2,2,3,2,1,2,3,,8,7,8,
479,4,2,2,1,1,1,4,4,4,2,3,,,,7,
