responid,age,gender,edu,income,marital,consumption_rate,patronage_arbys,patronage_burgerking,patronage_mcd,patronage_subway,patronage_wendys,rating_arbys,rating_burgerking,rating_mcd,rating_subway,rating_wendys
"3,196",6,1,3,3,1,3,3,3,1,1,2,,,9,10,8
"3,197",4,1,5,5,2,7,4,2,2,2,1,,7,7,7,6
"3,200",4,1,4,3,2,20,2,1,1,1,1,7,7,6,10,8
"3,205",2,1,3,3,1,12,2,1,1,1,2,4,6,7,9,7
"3,206",5,1,2,2,1,20,1,2,1,1,2,8,7,8,7,7
"3,208",3,1,3,4,2,5,2,1,2,2,3,7,7,5,7,
"3,209",6,1,3,3,2,3,1,4,2,3,3,7,,5,,
"3,210",2,1,3,2,1,14,3,1,1,1,1,,6,5,9,8
"3,211",6,1,4,3,2,12,3,1,1,1,1,,5,2,9,6
"3,213",4,1,4,2,1,3,,,,1,1,,,,10,10
"3,215",4,1,2,4,2,6,3,1,1,1,2,,6,8,10,8
"3,216",5,1,5,3,2,5,,2,1,1,3,,7,4,9,
"3,217",6,1,5,4,2,4,1,1,2,3,3,9,7,6,,
"3,219",6,1,4,2,1,1,3,2,1,1,3,,6,8,7,
"3,221",3,1,4,5,1,3,,,1,,,,,8,,
"3,222",3,1,3,4,2,6,3,2,1,1,2,,8,8,9,6
"3,223",5,1,4,5,2,5,1,1,1,3,1,7,3,7,,5
"3,224",6,1,5,3,2,12,1,2,1,2,1,8,4,7,8,9
"3,226",6,1,3,4,2,3,3,3,2,3,1,,,6,,9
"3,228",6,1,4,4,2,2,3,1,2,3,3,,6,4,,
"3,229",4,1,3,2,2,2,,,,,,,,,,
"3,230",5,1,2,3,2,3,1,1,1,,,8,7,4,,
"3,231",3,1,3,4,2,12,,1,1,,,,8,7,,
"3,232",4,1,4,4,2,7,2,3,2,4,2,9,,7,,9
"3,234",6,1,4,4,2,4,3,3,2,1,3,,,4,8,
"3,235",4,1,3,3,2,2,3,2,2,2,2,,7,7,9,7
"3,237",5,1,2,3,2,12,3,2,1,2,1,,6,9,9,9
"3,238",5,1,5,3,2,8,4,2,1,3,1,,6,7,,9
"3,240",3,1,4,2,2,18,3,3,1,1,1,,,10,8,9
"3,243",6,1,3,3,2,6,,,,,1,,,,,8
"3,244",4,1,4,3,2,7,,1,1,,1,,6,4,,8
"3,251",5,1,5,8,2,20,1,1,1,1,1,8,8,1,7,8
"3,252",4,1,3,2,2,4,,1,1,,,,5,4,,
"3,253",3,1,4,4,1,12,1,3,1,1,3,8,,7,8,
"3,254",4,1,5,5,2,20,1,1,1,1,2,10,10,10,10,10
"3,255",4,1,4,2,1,10,,,,,1,,,,,8
"3,256",5,1,3,3,2,6,4,1,2,3,1,,7,6,,7
"3,257",5,1,3,4,2,10,1,1,1,3,1,5,7,6,,8
"3,259",5,1,2,2,2,4,3,1,3,3,1,,10,,,10
"3,260",2,1,3,1,1,4,2,2,1,1,1,10,10,10,10,10
"3,262",5,1,2,2,1,12,,,,1,,,,,5,
"3,263",2,1,2,3,2,10,4,1,3,1,2,,9,,8,7
"3,264",5,1,3,3,2,10,1,1,1,1,1,8,8,8,10,9
"3,265",4,1,3,3,2,10,3,1,3,1,2,,8,,5,8
"3,266",6,1,2,1,2,2,,,1,,,,,7,,
"3,267",4,1,5,3,1,15,1,1,1,2,1,8,7,3,2,6
"3,268",3,1,4,3,2,8,2,2,1,1,1,7,7,9,8,9
"3,269",5,1,5,3,2,8,1,1,1,1,1,8,6,7,4,7
"3,270",3,1,5,1,1,5,3,2,3,1,2,,5,,8,5
"3,273",4,1,3,8,2,4,4,2,1,3,3,,5,5,,
"3,274",4,1,4,2,2,10,,1,,1,1,,6,,10,7
"3,275",6,1,4,5,2,8,3,1,1,1,3,,6,5,8,
"3,276",6,1,5,2,2,6,,,1,,,,,5,,
"3,279",4,1,5,3,2,9,,,1,1,1,,,10,8,9
"3,281",6,1,4,5,2,8,3,1,3,2,1,,8,,8,8
"3,283",3,1,3,2,1,12,3,1,1,1,1,,9,10,10,10
"3,285",3,1,4,5,2,6,,,2,1,,,,8,7,
"3,286",2,1,2,2,1,4,,1,1,1,1,,2,1,10,10
"3,288",3,1,4,5,1,2,4,1,2,4,2,,8,7,,8
"3,289",6,1,5,8,2,3,2,2,1,1,3,7,6,7,8,
"3,290",3,1,4,4,2,4,3,2,3,3,,,10,,,
"3,292",3,1,4,2,2,10,1,1,1,1,1,10,10,10,10,10
"3,296",4,1,3,4,2,6,3,2,1,3,1,,7,4,,9
"3,299",4,1,3,2,2,45,1,1,1,2,1,10,7,5,5,8
"3,300",5,1,4,2,1,2,,1,3,3,1,,7,,,8
"3,301",6,1,3,5,2,28,1,,1,1,1,10,,10,10,10
"3,302",2,1,3,2,1,10,4,2,3,1,3,,8,,9,
"3,303",4,1,3,2,2,20,2,1,1,1,1,8,7,8,9,9
"3,305",2,1,3,8,1,5,4,3,3,1,4,,,,8,
"3,306",4,1,5,5,2,5,3,3,1,1,3,,,6,7,
"3,307",6,1,2,2,2,30,1,2,1,1,1,5,4,8,6,2
"3,308",3,1,4,2,2,5,3,1,1,1,2,,8,5,8,5
"3,310",4,1,3,2,2,5,2,2,2,2,2,6,7,8,9,9
"3,311",3,1,4,2,2,5,1,2,1,1,1,9,9,9,8,8
"3,313",3,1,4,5,1,8,2,3,2,3,2,9,,5,,9
"3,314",3,1,5,3,1,4,,2,1,1,1,,5,8,10,8
"3,315",6,1,4,3,2,6,2,1,1,2,2,7,6,4,8,8
"3,316",3,1,4,4,2,20,1,1,1,1,,7,6,6,9,
"3,322",5,1,4,2,2,3,,,,,,,,,,
"3,324",3,1,4,4,2,9,2,1,1,,,9,8,8,,
"3,325",2,1,5,2,1,3,,,1,,,,,3,,
"3,328",6,1,5,4,2,12,2,2,2,2,1,8,8,8,8,8
"3,329",5,1,2,2,2,8,2,1,1,3,3,5,8,8,,
"3,330",5,1,3,3,2,5,2,2,1,1,3,7,3,8,5,
"3,333",3,1,4,5,2,1,4,3,1,1,3,,,7,6,
"3,334",6,1,2,3,2,8,2,2,1,2,1,7,7,7,8,10
"3,337",2,1,5,2,2,16,1,1,3,1,1,9,7,,9,7
"3,341",2,1,3,8,1,15,3,2,1,2,1,,7,7,8,9
"3,343",6,1,4,3,1,6,3,3,3,3,3,,,,,
"3,345",5,1,3,4,2,20,1,1,2,2,2,1,4,4,5,8
"3,347",6,1,4,2,2,4,1,2,1,2,2,10,9,9,10,9
"3,348",4,1,3,6,2,7,3,2,1,3,2,,5,8,,6
"3,351",5,1,4,4,2,4,3,2,1,3,1,,7,7,,8
"3,352",5,1,4,4,2,3,3,3,3,1,3,,,,7,
"3,354",6,1,3,2,2,6,3,1,1,3,1,,7,7,,7
"3,356",6,1,3,2,2,10,1,2,1,3,3,9,6,6,,
"3,358",3,1,4,3,2,4,,1,1,1,1,,3,9,7,10
"3,359",6,1,4,2,2,2,3,3,1,3,3,,,3,,
"3,360",3,1,2,3,1,10,3,1,1,3,1,,10,10,,10
"3,362",6,1,4,7,2,3,3,2,1,3,2,,8,7,,5
"3,367",6,1,5,5,2,10,4,3,2,1,1,,,7,9,9
"3,372",3,1,4,5,2,16,3,3,2,1,1,,,1,6,2
"3,380",4,1,2,2,1,12,1,1,1,1,1,5,6,9,5,7
"3,381",4,1,3,2,2,3,2,2,1,1,3,3,2,3,5,
"3,385",2,1,4,2,1,2,,,,,1,,,,,6
"3,386",6,1,3,3,2,8,1,1,1,1,3,9,9,4,9,
"3,387",2,1,4,2,1,2,,,1,,,,,6,,
"3,389",4,1,4,3,2,15,1,1,1,1,1,10,10,10,10,10
"3,393",3,1,4,4,2,18,,1,,1,,,10,,10,
"3,395",4,1,2,2,1,6,1,,1,1,1,7,,8,8,8
"3,396",2,1,4,3,1,6,3,1,2,3,1,,6,9,,9
"3,398",3,1,4,4,2,24,1,2,1,1,1,7,6,7,6,9
"3,400",4,1,4,2,1,15,1,1,1,2,1,8,6,5,7,7
"3,401",5,1,4,3,2,5,1,3,3,2,1,9,,,9,9
"3,402",5,1,4,2,2,4,3,1,1,3,1,,6,6,,6
"3,403",4,1,5,3,2,10,3,1,1,2,2,,7,7,8,8
"3,404",4,1,5,2,1,3,3,3,3,1,3,,,,4,
"3,405",5,1,5,5,2,8,3,3,1,1,3,,,6,9,
"3,407",2,1,3,4,1,5,3,3,1,1,2,,,5,9,4
"3,408",5,1,5,4,2,10,1,1,1,1,1,8,6,2,6,5
"3,409",6,1,3,3,2,12,2,1,1,1,1,9,8,9,8,8
"3,410",3,1,3,2,2,10,3,1,1,1,3,,10,10,10,
"3,412",2,1,3,3,1,9,,1,,1,1,,7,,8,9
"3,414",4,1,3,3,2,20,3,3,2,1,1,,,3,6,7
"3,416",5,1,3,3,2,12,,1,1,1,,,6,8,8,
"3,417",2,1,4,2,1,8,3,3,3,1,2,,,,9,8
"3,419",3,1,4,2,2,30,2,1,1,1,1,7,8,9,10,10
"3,422",4,1,3,2,2,5,1,1,1,2,2,7,6,6,7,8
"3,426",5,1,3,5,1,8,3,1,1,2,2,,9,8,7,9
"3,427",3,1,1,5,2,20,1,1,1,1,1,9,9,9,10,8
"3,428",3,1,2,3,2,8,3,1,1,2,1,,5,5,6,8
"3,430",3,1,3,2,2,5,2,2,2,2,2,6,6,6,6,6
"3,431",6,1,2,3,2,5,3,3,2,3,3,,,8,,
"3,432",6,1,1,2,2,10,3,3,1,3,4,,,7,,
"3,433",2,1,4,3,1,4,3,2,3,3,3,,6,,,
"3,434",3,1,3,2,1,10,,,1,,1,,,7,,7
"3,435",3,1,3,3,2,10,3,1,1,1,2,,7,8,9,3
"3,436",3,1,1,3,1,8,1,1,,,1,9,5,,,6
"3,437",4,1,3,2,2,2,2,1,1,2,1,6,6,7,7,8
"3,438",2,1,2,2,1,4,1,1,1,1,1,9,8,10,9,8
"3,439",4,1,3,2,2,4,1,,,,,8,,,,
"3,440",5,1,4,3,2,4,,,1,,,,,6,,
"3,441",4,1,2,8,2,5,4,4,3,1,,,,,7,
"3,442",6,1,5,2,1,1,3,3,3,2,3,,,,8,
"3,444",4,1,4,5,2,10,3,1,3,,3,,8,,,
"3,445",3,1,2,1,2,3,3,2,2,3,2,,8,6,,8
"3,446",2,1,2,1,2,15,,1,1,1,1,,10,10,10,10
"3,449",4,1,3,8,2,5,1,1,1,3,2,10,10,10,,6
"3,454",6,1,2,2,2,9,4,4,1,1,1,,,10,10,10
"3,466",4,1,4,4,2,8,3,2,2,3,1,,9,2,,10
"3,467",2,1,3,3,2,5,3,2,1,3,3,,6,9,,
"3,468",6,1,5,3,1,5,1,,1,,,8,,7,,
"3,469",4,1,5,5,2,1,,,1,,,,,7,,
"3,470",6,1,4,6,2,6,1,2,1,1,2,10,6,7,9,4
"3,472",5,1,4,3,2,9,3,1,3,1,1,,5,,9,7
"3,473",6,1,4,5,2,3,3,1,2,3,2,,6,5,,8
"3,474",4,1,5,2,1,4,,1,2,2,3,,8,2,6,
"3,475",6,1,3,3,2,2,3,3,3,2,3,,,,10,
"3,476",6,1,5,4,2,3,3,2,1,2,2,,6,7,6,6
"3,477",6,1,3,1,1,2,3,2,1,3,4,,6,6,,
"3,478",4,1,3,1,1,1,,1,,,,,7,,,
"3,480",5,1,5,5,2,20,1,3,1,1,1,7,,2,7,7
"3,481",3,1,2,3,2,10,,1,1,,1,,10,10,,10
"3,484",6,1,5,5,2,12,1,1,1,1,3,9,8,7,8,
"3,485",5,1,2,4,2,20,3,1,1,2,1,,10,10,5,10
"3,486",3,1,4,3,2,5,3,3,2,1,1,,,7,10,8
"3,487",6,1,3,3,2,5,3,2,1,3,1,,4,4,,10
"3,488",3,1,3,1,1,12,2,2,1,2,2,9,7,9,9,7
"3,489",3,1,4,3,2,25,3,1,1,2,1,,8,9,8,7
"3,490",2,1,3,2,2,8,1,3,1,3,2,9,,7,,9
"3,492",6,1,5,3,2,20,1,2,1,,1,4,4,4,,9
"3,493",6,1,4,4,2,3,4,1,1,2,3,,6,5,8,
"3,494",6,1,2,3,2,5,,1,1,1,1,,6,6,6,6
"3,495",2,1,2,2,1,5,3,1,2,1,1,,7,3,7,8
"3,496",5,1,5,3,2,5,3,1,1,2,2,,8,3,8,9
"3,497",6,1,3,3,1,2,2,1,3,3,,6,6,,,
"3,499",5,1,3,1,2,5,,1,1,2,,,6,4,3,
"3,503",5,1,4,4,2,10,2,1,1,1,1,10,7,8,8,9
"3,508",4,1,3,3,2,8,2,3,3,1,1,9,,,9,10
"3,510",3,1,3,3,2,15,3,1,3,1,1,,4,,6,5
"3,511",5,1,4,4,2,6,3,2,3,3,1,,5,,,5
"3,521",6,1,4,3,2,8,3,2,1,4,1,,8,8,,9
"3,524",2,1,2,2,1,6,1,3,1,1,2,2,,8,4,2
"3,525",5,1,5,3,2,12,2,1,1,1,1,7,8,5,7,6
"3,526",4,1,3,3,1,2,3,3,3,1,3,,,,7,
"3,527",3,1,3,3,2,5,3,2,1,1,3,,3,3,6,
"3,529",5,1,4,3,2,6,3,1,1,1,1,,6,5,6,8
